test_name,risc0_proving_time_s,risc0_proving_time_ms,risc0_proof_size_kb,risc0_proof_size_bytes,risc0_peak_memory_gb,risc0_peak_memory_bytes,sp1_proving_time_s,sp1_proving_time_ms,sp1_proof_size_kb,sp1_proof_size_bytes,sp1_peak_memory_gb,sp1_peak_memory_bytes,time_speedup,time_diff_s,proof_size_ratio,proof_size_diff_kb,memory_ratio,memory_diff_gb,time_winner,proof_size_winner,memory_winner
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes with value-opcode_CREATE2],16.248,16248.0,218.419921875,223662.0,640.5078125,687740026880.0,73.375,73375.0,1442.6357421875,1477259.0,500.1484375,537030295552.0,0.22143781942078367,-57.126999999999995,0.15140337611752577,-1224.2158203125,1.2806354363548322,140.359375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes with value-opcode_CREATE],15.975,15975.0,218.419921875,223662.0,628.7890625,675157114880.0,72.183,72183.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.22131249740243544,-56.208000000000006,0.15140337611752577,-1224.2158203125,1.3944281778963599,177.859375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes without value-opcode_CREATE2],15.901,15901.0,218.419921875,223662.0,638.1640625,685223444480.0,74.964,74964.0,1442.6357421875,1477259.0,476.7109375,511864471552.0,0.21211514860466357,-59.063,0.15140337611752577,-1224.2158203125,1.338681394319802,161.453125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes without value-opcode_CREATE],16.383,16383.0,218.419921875,223662.0,295.9765625,317802414080.0,75.027,75027.0,1442.6357421875,1477259.0,479.5234375,514884370432.0,0.2183613898996361,-58.644000000000005,0.15140337611752577,-1224.2158203125,0.6172306489190114,-183.546875,RISC0,RISC0,RISC0
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.25x max code size with non-zero data-opcode_CREATE2],15.378,15378.0,218.419921875,223662.0,646.1328125,693779824640.0,70.402,70402.0,1442.6357421875,1477259.0,522.6484375,561189486592.0,0.2184312945654953,-55.024,0.15140337611752577,-1224.2158203125,1.2362666108611489,123.484375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.25x max code size with non-zero data-opcode_CREATE],15.319,15319.0,218.419921875,223662.0,613.3203125,658547671040.0,70.424,70424.0,1442.6357421875,1477259.0,522.6484375,561189486592.0,0.2175252754742701,-55.105000000000004,0.15140337611752577,-1224.2158203125,1.173485403369258,90.671875,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.25x max code size with zero data-opcode_CREATE2],15.023,15023.0,218.419921875,223662.0,345.1953125,370650644480.0,72.924,72924.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.20600899566672148,-57.90100000000001,0.15140337611752577,-1224.2158203125,0.7687155308895423,-103.859375,RISC0,RISC0,RISC0
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.25x max code size with zero data-opcode_CREATE],15.143,15143.0,218.419921875,223662.0,670.0390625,719448965120.0,73.237,73237.0,1442.6357421875,1477259.0,450.4609375,483678748672.0,0.20676707128910252,-58.093999999999994,0.15140337611752577,-1224.2158203125,1.4874520890060527,219.578125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.50x max code size with non-zero data-opcode_CREATE2],15.959,15959.0,218.419921875,223662.0,672.3828125,721965547520.0,71.959,71959.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.22177906863630678,-56.0,0.15140337611752577,-1224.2158203125,1.4911034494707116,221.453125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.50x max code size with non-zero data-opcode_CREATE],15.285,15285.0,218.419921875,223662.0,574.4140625,616772403200.0,74.203,74203.0,1442.6357421875,1477259.0,449.9921875,483175432192.0,0.20598897618694662,-58.918000000000006,0.15140337611752577,-1224.2158203125,1.2764978558655533,124.421875,RISC0,RISC0,SP1
